Soil Depth,PH,Salnity,OC,N,P,K,Crop,Rainfall,Humidity,Min_Temp,Max_temp,Wind_Speed,Season,Yield
Low,7.3,0.59,0.7,168.09,28.34,525.5,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,4
Low,6.9,0.43,0.51,206.98,29.34,432.1,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.8,0.92,0.59,156.8,15.42,565.82,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.4,0.47,0.43,131.71,12.43,431.42,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.3,0.51,0.25,181.89,21.88,391.1,Black Gram,520,75,22.1,39.9,21.6,Kharif,8
Low,7.6,0.85,0.36,56.45,24.37,646.73,Black Gram,520,75,22.1,39.9,21.6,Kharif,10
Low,7.2,0.46,0.25,156.8,28.34,392.18,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.6,0.64,0.68,144.26,19.39,391.1,Black Gram,520,75,22.1,39.9,21.6,Kharif,3
Low,7.5,0.07,0.39,156.8,13.92,323.9,Black Gram,520,75,22.1,39.9,21.6,Kharif,3
Low,7.9,0.54,0.56,67.74,32.32,459.65,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.4,0.54,0.51,131.71,32.32,392.99,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.4,0.81,0.4,144.26,14.42,459.65,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.3,0.65,0.6,169.34,29.34,323.9,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.3,0.55,0.56,169.34,28.34,512.06,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.6,0.6,0.48,206.98,29.34,364.22,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.8,0.59,0.56,119.17,24.37,364.22,Black Gram,520,75,22.1,39.9,21.6,Kharif,8
Low,7.9,0.47,0.38,169.34,18.4,432.5,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.5,0.38,0.39,232.06,22.38,526.58,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.4,0.42,0.28,81.54,18.4,283.45,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.7,0.62,0.46,131.71,23.87,391.1,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.9,0.34,0.54,169.34,18.4,364.22,Black Gram,520,75,22.1,39.9,21.6,Kharif,8
Low,7.6,0.59,0.66,232.06,13.43,391.1,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.4,0.62,0.47,282.24,20.39,379.01,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.7,0.56,0.25,181.89,28.34,592.7,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.6,0.62,0.38,169.34,33.32,353.34,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.4,0.45,0.52,106.62,23.37,351.32,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.8,0.5,0.68,43.9,26.85,485.18,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.9,0.62,0.39,81.54,18.4,283.05,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.5,0.85,0.64,181.89,28.34,594.05,Black Gram,520,75,22.1,39.9,21.6,Kharif,10
Low,7.6,0.55,0.39,106.62,23.87,391.1,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.7,0.36,0.39,194.43,11.44,224.45,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.3,0.69,0.66,181.89,13.92,241.92,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.5,0.54,0.47,206.98,12.93,317.18,Black Gram,520,75,22.1,39.9,21.6,Kharif,8
Low,7.3,0.59,0.55,269.7,13.92,475.78,Black Gram,520,75,22.1,39.9,21.6,Kharif,3
Low,7.9,0.35,0.39,332.42,11.93,360.19,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.5,0.72,0.36,244.61,14.92,283.58,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,8,0.6,0.52,219.52,13.43,365.57,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.7,0.54,0.5,194.43,14.42,393.79,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.3,0.86,0.47,181.89,16.41,432.77,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Medium,7.7,0.45,0.5,232.06,15.42,417.98,Black Gram,560.7,77,22.1,39.5,23,Kharif,7
Medium,7.6,0.87,0.54,131.71,13.43,549.7,Black Gram,560.7,77,22.1,39.5,23,Kharif,5
Medium,7.7,0.45,0.5,92.83,33.32,552.38,Black Gram,560.7,77,22.1,39.5,23,Kharif,5
Medium,7.6,0.67,0.55,117.91,19.89,393.25,Black Gram,560.7,77,22.1,39.5,23,Kharif,8
Medium,7.5,0.63,0.5,205.72,34.31,526.85,Black Gram,560.7,77,22.1,39.5,23,Kharif,7
Medium,7.8,0.67,1.05,168.09,20.89,283.45,Black Gram,560.7,77,22.1,39.5,23,Kharif,10
Medium,7.5,0.54,0.6,92.83,30.83,391.1,Black Gram,560.7,77,22.1,39.5,23,Kharif,6
Medium,7.3,0.39,0.56,155.55,21.88,485.18,Black Gram,560.7,77,22.1,39.5,23,Kharif,6
Medium,7.4,0.52,0.51,155.55,25.86,379.81,Black Gram,560.7,77,22.1,39.5,23,Kharif,7
Medium,7.5,0.33,0.39,205.72,17.9,485.18,Black Gram,560.7,77,22.1,39.5,23,Kharif,5
Medium,7.4,0.47,0.62,193.18,23.37,592.7,Black Gram,560.7,77,22.1,39.5,23,Kharif,8
Medium,7.3,0.67,0.46,218.27,32.82,380.22,Black Gram,560.7,77,22.1,39.5,23,Kharif,8
Low,7.3,0.44,0.59,67.74,31.33,431.42,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,6
Low,7.4,0.69,0.39,67.74,30.33,431.42,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,8
Low,7.2,0.34,0.48,193.18,34.31,350.78,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,5
Low,7.6,0.46,0.28,155.55,14.42,432.63,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,4
Low,7.5,0.67,0.52,117.91,38.79,351.19,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,4
Low,7.4,0.99,0.56,92.83,18.4,393.25,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,3
Low,7.3,0.69,0.97,92.83,34.81,391.1,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,3
Low,7.5,0.6,0.35,168.09,20.89,404.54,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,5
Low,7.8,0.62,0.28,92.83,31.33,431.42,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,5
Low,7.9,0.62,0.31,193.18,20.89,377.66,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,4
Low,7.4,0.72,0.28,155.55,22.87,310.46,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,3
Low,7.5,0.52,0.3,105.37,34.81,485.18,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,4
Low,7.8,0.43,0.58,65.23,28.84,419.33,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,5
Low,7.5,0.6,0.39,43.9,14.42,391.1,Jowar,589,78.4,20.4,37.1,21.2,Kharif,17
Low,7.4,0.47,0.36,68.99,19.39,486.53,Jowar,589,78.4,20.4,37.1,21.2,Kharif,15
Low,7.8,0.54,0.51,56.45,16.41,486.39,Jowar,589,78.4,20.4,37.1,21.2,Kharif,36
Low,7.1,0.84,0.36,81.54,26.85,525.5,Jowar,589,78.4,20.4,37.1,21.2,Kharif,15
